[classes] ['book' 'chair' 'desk' 'hammer' 'lecturestand']
/usr/local/lib/python3.12/dist-packages/huggingface_hub/utils/_auth.py:94: UserWarning: 
The secret `HF_TOKEN` does not exist in your Colab secrets.
To authenticate with the Hugging Face Hub, create a token in your settings tab (https://huggingface.co/settings/tokens), set it as secret in your Google Colab and restart your session.
You will be able to reuse this secret in all of your notebooks.
Please note that authentication is recommended but still optional to access public models or datasets.
  warnings.warn(
model.safetensors: 100%
 114M/114M [00:00<00:00, 259MB/s]
[038] tr_loss=0.5485 tr_mae=0.563 | va_mae=1.487 va_rmse=2.201 | va_f1M=1.000 va_acc=1.000 | score=0.487 | time=23.7s
[039] tr_loss=0.5132 tr_mae=0.520 | va_mae=1.459 va_rmse=2.171 | va_f1M=1.000 va_acc=1.000 | score=0.459 | time=24.6s
[040] tr_loss=0.5042 tr_mae=0.512 | va_mae=1.436 va_rmse=2.149 | va_f1M=1.000 va_acc=1.000 | score=0.436 | time=23.8s
[041] tr_loss=0.4836 tr_mae=0.488 | va_mae=1.413 va_rmse=2.126 | va_f1M=1.000 va_acc=1.000 | score=0.413 | time=23.6s
[042] tr_loss=0.4634 tr_mae=0.457 | va_mae=1.393 va_rmse=2.108 | va_f1M=1.000 va_acc=1.000 | score=0.393 | time=24.4s
[043] tr_loss=0.4301 tr_mae=0.419 | va_mae=1.371 va_rmse=2.086 | va_f1M=1.000 va_acc=1.000 | score=0.371 | time=24.0s
[044] tr_loss=0.4216 tr_mae=0.408 | va_mae=1.353 va_rmse=2.070 | va_f1M=1.000 va_acc=1.000 | score=0.353 | time=23.7s
[045] tr_loss=0.4226 tr_mae=0.412 | va_mae=1.336 va_rmse=2.058 | va_f1M=1.000 va_acc=1.000 | score=0.336 | time=23.3s
[046] tr_loss=0.4031 tr_mae=0.385 | va_mae=1.319 va_rmse=2.044 | va_f1M=1.000 va_acc=1.000 | score=0.319 | time=24.0s
[047] tr_loss=0.4013 tr_mae=0.377 | va_mae=1.304 va_rmse=2.033 | va_f1M=1.000 va_acc=1.000 | score=0.304 | time=23.8s
[048] tr_loss=0.3865 tr_mae=0.359 | va_mae=1.290 va_rmse=2.024 | va_f1M=1.000 va_acc=1.000 | score=0.290 | time=23.8s
